Vendor_Formal_Name,Vendor_DBA,Contact_Name,telephone,fax,Email,certification,Cert_Renewal_Date,Ethnicity,Address1,Address2,City,State,ZIP,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip,Website,Date_Of_Establishment,Aggregate_Bonding_Limit,Signatory_To_Union_Contracts,Business_Description,Goods_Materials_Suplier,Types_of_Construction_Projects,Job_Exp1_Name_of_Client,Job_Exp1_Value_of_Contract,Job_Exp1_Percent_Self_Performed,DATEOFJOB1,EXPERIENCE1,Job_Exp2_Name_of_Client,Job_Exp2_Value_of_Contract,Job_Exp2_Percent_Self_Performed,DATEOFJOB2,EXPERIENCE2,Job_Exp3_Name_of_Client,Job_Exp3_Value_of_Contract,Job_Exp3_Percent_Self_Performed,DATEOFJOB3,EXPERIENCE3,Job_Exp4_Name_of_Client,Job_Exp4_Value_of_Contract,Job_Exp4_Percent_Self_Performed,DATEOFJOB4,EXPERIENCE4
"Cables And Chips, Inc",,Susan Feinstein,2126193132,2126193982,sfeinstein@cablesandchipsinc.com,WBE,,NON-MINORITY,121 Fulton Street,4th Floor,New York,NY,10038,121 Fulton Street,4th Floor,New York,New York,10038,http://www.cablesandchipsinc.com,,,,"Sale of voice, data cabling, installations, network installations, fiber optics, retail sale of computer peripherals, custom assembly of computer cables, network hardware, fiber installations, major telecommunications wiring certifications, cable removal.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Celeste Controls, Inc.",,Celeste Roche,9142451594,914 962-1273,celesteroche58@yahoo.com,"MBE,WBE",07/31/2016;07/31/2016,ASIAN,3815 Barger Street,,Shrub Oak,NY,10588,3815 Barger Street,,Shrub Oak,New York,10588,,,,,Provide controls and other heating ventilating and air conditioning related products for construction and services,,,,0,,,,,0,,,,,0,,,,,0,,,
"Celia J. Bergoffen, Ph.D., R.P.A.",,Celia Bergoffen,9177970594,,celia_bergoffen@fitnyc.edu,MBE,10/31/2018,BLACK,329 West 76th Street,Apt. 3B,New York,NY,10023,329 West 76th Street,Apt. 3B,New York,New York,10023,,,,,"We prepare assessments of proposed development sites subject to environmental review and recommend mitigation when potential archaeological remains may be negatively impacted. We conduct archaeological field testing and excavation to recover, document, landmarks preservation commission and NY Office of Parks, Recreation and Historic Preservation.",,,Philip Habib & Associates,3900,,08/01/2013,"Phase IA Archaeological Assessment. Creation of a research report documenting the occupational history of a site fro proposed development in Astoria, Queens.",90 Queen's Inc.,13200,,04/01/2012,Phase IA assessment and Phase IB Archaeological Testing and creation of a report on the results of the work performed.,Yuco Real Estate Company Inc.,19466,,03/01/2012,Phase IB Archaeological Testing and creation of a report on the results of work performed.,,0,,,
CND Enterprises,,Charlene Dougall,7186233860,,cdougall@mapptechnology.com,"MBE,WBE",05/30/2020;05/30/2020,BLACK,176 Herkimer Street,Apt 2,Brooklyn,NY,11216,176 Herkimer Street,Apt 2,Brooklyn,New York,11216,http://www.mapptechnology.com,,,,Software Solutions,,,Bedford Stuyvesant Restoration Corporation,1200,100,04/01/2015,Assisting managing event and responsible for tracking budget.,Morgan Stanley,11960,100,11/01/2013,Designed a database and reports to calculate employee compensation based on different scenarios.,Bridging Access to Care Inc.,7000,100,01/01/2013,Created an Access database to track clients appointments and trigger reminders of upcoming assessments.,,0,,,
"Copykat Information & Business Center, Inc",,Raymond Bonhomme,2125341400,212 534-8025,info@copykatprinting.com,MBE,05/31/2017,BLACK,1785 Lexington Avenue,,New York,NY,10029,1785 Lexington Avenue,,New York,New York,10029,http://www.copykatprinting.com,,,,"Full service print shop specializing in off set printing and digital printing & copying, graphic design.",,,The City College of NY,15000,,12/14/2010,"Printing of various items; brochures, postcards / posters",Mount Sinai,11500,,08/01/2011,"Printing- Palm cards, Brochures Plaques",Harlem Children's Zone,12300,,11/01/2011,Printing: LH ZNV Brochures & graphic design,,0,,,
CSW Psychotherapy P.C.,Center for PsychoTherapy,John McQueen,3472447458,718 940-4610,johnpmcqueen@gmail.com,MBE,02/28/2019,BLACK,123 Linden BLVD,# 103,Brooklyn,NY,11226,813 Maple Street,,Brooklyn,New York,11203,http://www.center-for-psychotherapy.com,,3000000,,"LCSW Psychotherapy, PC is a community based behavioral clinic that provides mental health services including workshops and seminars to individual adults, couples, children, adolescence and their families.",,,GHI,20825,,01/13/2013,"Provide Behavioral & Mental Services to children, adolescence, individual adults, couples, and their families.",ValueOptions Inc.,15399,,01/13/2013,"Provide Behavioral & Mental Services to children, adolescence, individual adults, couples, and their families.",Empire Health Choice,13049,,01/13/2013,"Provide Behavioral & Mental Services to children, adolescence, individual adults, couples, and their families.",,0,,,
Dan Yant Inc.,,Daniel Nyante,7188586003,718 858-6101,danyant@aol.com,MBE,10/31/2016,BLACK,90 Livingston Street,,Brooklyn,NY,11201,90 Livingston Street,,Brooklyn,New York,11201,,,,,Construction management design & mechanical systems HVAC. Fabrication of sheetmetal duct work for mechanical ventilation systems and installing ventilation system for mechanical vent systems in New York & Tri-State.,,,WDF Inc ,1500000,,03/01/2011,Furnish and install mechanical systems   ,Telentos Construction Corp ,1680000,,01/01/2011,Furnish and install mechanical systems vents   ,JT Falk Inc ,275000,,07/01/2011,Furnish and install mechanical systems vents  ,,0,,,
"Doorware, Inc.",,Tae Yoon,5163545090,5163545102,nhpyoon@hanmail.net,MBE,10/31/2016,ASIAN,266 Jericho Turnpike,Ste. 2,Floral Park,NY,11001,266 Jericho Turnpike,,Floral Park,New York,11001,http://N/A,,,,"We are a distributor of contract hardware, hollow metal doors/frames, wood doors & stainless steel openings.",,,Navillus Contracting,47229,100,07/01/2014,"Supplied doors, frames & hardware.","Corbex, Inc.",35422,100,07/01/2014,"Supplied doors, frames & hardware.",Biltmore,55277,100,05/01/2014,"Supplied doors, frames & hardware.",,0,,,
"Dynasty Stainless Steel & Metal Industries, Inc.",,Brian Lee,7182056623,718 205-6674,brianleedynastygroup@gmail.com,MBE,05/31/2017,ASIAN,59-85 Maurice Avenue,,Maspeth,NY,11378,59-85 Maurice Avenue,,Maspeth,New York,11378,http://www.dynastystainlesssteel,,,,"We are general contractor, fabrication all type metals stairs, architect metals, protection bollards, glass metal works building entrace, storefront and reconstruction building,renovation work.",,,MTA - Capital Pro.,2346000,,08/01/2010,Stainless Steel Bollards. Concrete sidewalk. Watermain work,Department of Design & Construction,2295000,,06/01/2010,"Reconstruction of toilet-room. Ceiling brick, painting 8 doors. Floor, coating",HPD,2891196,,01/01/2008,"Reconstruction of apartment building, all interior work, renovation.",,0,,,
E.G. Bowman Company Inc,,Harry Ennevor,2124258150,212 269-0399,hennevor@egbowman.com,MBE,10/31/2016,BLACK,5 Hanover Square,Suite 201,New York,NY,10004,5 Hanover Square,Suite 201,New York,New York,10004,http://www.egbowman.com,,,,"Insurance brokerage providing all lines of insurance (property & casulaty, liability, workers compensation, DBL, bonding, ect...) and loss and safetycontrol services.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Engrafics, Inc.",,Susan Perdoch,2126910777,212 645-6764,sales@engrafics.com,WBE,,NON-MINORITY,135 West 20th Street,Ste. 403,New York,NY,10011,135  west 20th Street,Ste. 403,New York,New York,10011,http://www.engrafics.com,,,,"Full service corporate sign company, specializing in interior/exterior signage; design fabrication & installation, services; name plates, room id, ada braille, directional, bldg code, stair, floor, way finding, dimensional letters/ logos, murals vinyl graphics, digital printing, banners, privacy film signage for office, conference rooms, retail store windows, etc.",,,Albanese Development Corp.,150000,,04/01/2010,"Fabrication, installation, residential sign package, fire/stair/room ID, apt. ID, directional, restroom signs",Newmark Knight Frank ,15000,,04/01/2011,"Glass building entrance site detractors, coporate office logo identity",Christian Cutural Church,34935,,01/20/2012,"Design, fabricate, install custom wall plaques, mural",,0,,,
Engraved Sign Studio Inc.,,Alberto Valencia,7188529118,7182076336,esign280@gmail.com,MBE,04/29/2020,HISPANIC,63 Flushing Avenue - Bldg. 280,3rd. Fl.,Brooklyn,NY,11205,63 Flushing Avenue,Unit 268,Brooklyn,New York,11205,,,,,"Engraving on metal, and all type of signs for interior architectural signing",,,Duggal Visual Solutions,13795,100,11/05/2014,Starbucks education disks & David Yurman aluminum bases.,Standard Architectural,11780,100,10/15/2014,Cuttout letters engraved & color fill print on magnet and install.,IDT Innovative Design,18000,100,10/07/2014,"Engraved on main & auxi elevators, swing fronts, color fill.",Brooklyn Navy Yard,30000,100,09/16/2014,"Electrical room signs, elevator signs."
Espl Environmental Consultants Corp.,,Margaret Tavares,2123307501,212 330-7505,mtavares@espl.com,WBE,,NON-MINORITY,2 West 32nd Street,5th Floor,New York,NY,10006,2 West 32nd Street,5th Floor,New York,New York,10006,http://www.espl.com,,,,"ESPL provides engineering and environmental services. this includes site remediations, tank closures, monitoring and sampling. Stormwater design, installation and construction.",,,Philip Levien,300000,,01/01/2011,"Tank, Soil removal and in-stice site remediation",30 Elm St. LLC,570000,,01/01/2011,"Subsurface investigation, soil remediation and consulting services",1802 LLC,600000,,01/01/2011,"Subsurface investigation, soil and groundwater remediation and consulting services",,0,,,
"Factory Systems Installer, Inc.",,Mary Anne Mulvey,7188327371,718 832-8676,fsifleet@aol.com,WBE,,NON-MINORITY,157 48th Street,,Brooklyn,NY,11232,157 48th Street,,Brooklyn,New York,11232,,,,,"Car, bus, truck, RV - Mechanical repair. Car, bus, truck, Rv - autobody/collision repair and paint wheelchair lift installation and repair generator installation and repair/maintenance vehicle conversions a/c installation (auto/truck/bur/RV) and repair after market outfitters.",,,NYPD,25000,100,07/01/2014,Paint police vehicles,NYC MTA,22000,100,09/10/2014,Repair A/C units-armored vehicles,New Dawn Transit,74000,100,07/01/2014,Install A/C systems in school buses,,0,,,
"Franco's Blinds & Shades, Inc.",,Francisco Stephens,7185283850,718 527-8742,fsteph5784@aol.com,MBE,05/31/2017,BLACK,240-24 146th Ave,,Rosedale,NY,11422,240-24 146th Ave,,Rosedale,New York,11422,http://www.francosblindsandshades.com,,,,"Furnish & install all types of window treatment blinds- vertical-shades, drapes, curtains, motorized treatments.",,,Whitestone Construction,59500,,07/29/2009,Furnish and install window treatment,New York Stone Co.,41000,,07/29/2009,Furnish and install window treatment,White Stone Construction,113000,,07/29/2009,Furnish and install window treatment,Orba Construction,11985,,03/04/2011,Furnish & Install Window Shades
"Goshow Architects, LLP",,Nancy Goshow,2122423735,212 727-7460,nag@goshow.com,WBE,,NON-MINORITY,44 West 28th Street,5th Floor,New York,NY,10001,44 West 28th Street,5th Floor,New York,New York,10001,http://www.goshow.com,,,,"Designs green architecture for the public sector for the public good and our approach focuses on creating a comprehensive, sustainable design characterized by open spaces, natural lighting, eco-friendly materials, and resource/energy efficient systems. ",,,NYC Dept. Environmental Protection,1200000,,06/01/2006,subconsultant to JV tasked with the restoration of Gilboa Dam and  associated facilities in upstate NY,CUNY Hostos Comm. College,2500000,,01/01/2003,"Lead Consultant working with the college to complete a phased renovation of the entire building. Managed 5 projects at 500 Grand Concourse, totaling over 40,000 sq ft.",CUNY Queens College,1425000,,01/01/2007,Architect of Record for new 500-bed student residence at Queens College,,0,,,
"Gregory Switzer Architecture, P.C.",,Gregory Switzer,2123911519,2125942601,gswitzer@switzerpc.com,MBE,10/31/2018,BLACK,255 West 36th Street,Suite 1101,New York,NY,10018,255 West 36th Street,Suite 1101,New York,New York,10018,http://www.switzerpc.com,,,,"Full service architectural practice specializing in corporate interiors, gut rehabs, small building design , residential structures, space planning, feasibility studies and architectural design & planning.",,,,0,,,,,0,,,,,0,,,,,0,,,
Hausman LLC,,Tami Hausman,6467421700,,Hausman@hausmanllc.com,WBE,,NON-MINORITY,40 Worth Street,Suite 301,New York,NY,10013,40 Worth Street,Suite 301,New York,New York,10013,http://www.hausmanllc.com,,,,"Full-service integrated communications firm that specializes in marketing and public relations. Our services include strategic planning, marketing, communications, media relations, writing and editing, media coaching and event planning.",,,Francis Cauffman,90000,100,01/01/2015,Full-service public relations and communications services including media relations and writing.,Rogers Partners,77000,100,01/01/2014,"Full-service public relations and communications services including media relations, book writing, editing and promotion.",Rider Levett Bucknall,86000,100,03/01/2014,"Full-service public relations and communications services including media relations, writing and SEO.",,0,,,
Hodge Metal Corp.,,Rudolph Hodge,2129878144,212 987-7040,magdella@nj.rr.com,MBE,05/31/2017,BLACK,237 East 110th Street,,New York,NY,10029,P.O. Box 965,,New York,New York,10029,,,,,Sheet metal fabrication and installation.,,,Luxacre HVAC,15950,,03/01/2011,Fabricate and install ductwork,Day & Nite / All Services,3000,,06/01/2010,Fabricate and install ductwork,E 117 Street LLC.,12675,,01/01/2012,Fabricate and install ductwork,,0,,,
"Hopkins Foodservice Specialists, Inc.",,Patricia Osei-Boateng,2126799293,3013209202,posei@hopkinsfoodservice.com,WBE,,NON-MINORITY,377 East 33rd Street,Ste. 6J,New York,NY,10016,377 East 33rd Street,Ste. 6J,New York,New York,10016,http://www.hopkins-fs.com,,,,"Food service architectural design firm specializing in kitchens, serveries, and dining rooms for buildings in a variety of sectors, including but not limited to, arts & cultural, corporate, conference centers, corrections, military, education (colleges & universities and K-12), embassies, healthcare, international, religious, and government workplace.",,,MGM Resorts International,410700,100,01/01/2014,Food service architectural design services.,Comcast HQ,192000,100,01/01/2014,Food service architectural design services.,"U.S Army Corps of Engineers, Fort Worth District",318000,100,01/01/2014,Food service architectural design services.,,0,,,
"Imperial Iron Works, Inc.",,Jaime Osorio,7186171925,718 617-1231,josorio@iiwnyc.com,MBE,06/30/2018,HISPANIC,1536 Southern Boulevard,,Bronx,NY,10460,1536 Southern Boulevard,,Bronx,New York,10460,,,100000000,"Ironworkers 40, Ironworkers 361","Imperial Iron Works, Inc. is a contractor providing erection and fabrication of structural steel and miscellaneous iron services in the construction of governmental and commercial properties.",,,Gottlieb Skanska,5000000,,,Structural steel replacement and repairs,Defoe Corporation,550000,,11/01/2002,Replacement of steel bridge.,Defoe Corporation,320000,,10/02/2002,Install structural steel girder brdige.,Skanska USA Building/United Nations,5375000,,12/01/2011,For new conference room. Erected the structural steel
Independent Testing & Balancing Corp.,,Olga D. Marrero,8456348554,845 634-8541,orianaf@itandbcorp.com,MBE,02/28/2017,HISPANIC,254 North Main Street,,New City,NY,10956,19 Squadron Boulevard,,New City,New York,10956,http://www.itandbcorp.com,,,,We test and balance HVAC systems according to design specifications.,,,Nelson Air Device,140000,,10/24/2011,Testing and balancing (Air & Water) of HVAC Systems,PJ Mechanical Corp.,165000,,07/07/2010,Testing and balancing (Air) of HVAC Systems,Sound Refrigeration & Air Conditioning,140000,,05/20/2010,Testing and Balancing (Air & Water) of HVAC Systems,,0,,,
"J. H. Electric Of New York, Inc.",,Raina Herrick,6314236969,631-271-4173,laura@jhelectric.com,WBE,,NON-MINORITY,1 Detroit Road,,Huntington Station,NY,11746,1 Detroit Road,,Huntington Station,New York,11746,http://www.jhelectric.com,,16000000,,"WBE Local 3 Electrical Contractor we perform electrical work for both new construction 7 renovation work. We specialize in Fire Alarm Systems, Emergency Generators, Low Voltage Controls, Lighting Protection, Public Address Systems, Heat Tracing, Intercoms, Telephone/Data Communications Systems, Security Alarms, Switchgear, 7 High Voltage Work.",,,NY Dept of Sanitation ,21814056,,05/19/2003,Electrical Contractor,DAS NYC ,6542399,,08/01/2008,Electrical Contractor,American Musem of Natural History ,3027582,,01/01/2007,Electrical Contractors,,0,,,
JCC Maintenance Supply LLC,,Jennifer Chin,7187628288,7187623727,jennifer@jccsupplies.com,"MBE,WBE",04/29/2020;04/29/2020,ASIAN,20-28 119th Street,,College Point,NY,11356,20-28 119th Street,,College Point,New York,11356,http://www.jccsupplies.com,,,,Distributor of building maintenance supplies and lighting.,,,48-11 45th St. - R/E Mgt.,1200,80,01/01/2015,Building maintenance supplies.,American Building Maint.,147000,80,01/01/2015,Building maintenace supplies.,Collins Building Services Inc.,1000000,80,01/01/2015,Building maintenance supplies.,,0,,,
"Johnson Liebman, LLP",,Robert Johnson,2126196144,2126191358,robert.johnson@johnsonliebman.com,MBE,10/31/2017,BLACK,305 Broadway,Suite 801,New York,NY,10007,305 Broadway,Suite 801,New York,New York,10007,http://www.johnsonliebman.com,,,,"Our law firm's concentration is in civil practice, including commercial and general litigation. Focus areas include premises liability, motor vehicle liability, insurance and coverage claims, and corporate, commercial and private real estate transactions.",,,,0,,,,,0,,,,,0,,,,,0,,,
"Jonathon Roberts Associates, Inc.",,Merle Greene,2125849160,646-669-9205,mg@jra-inc.com,WBE,,NON-MINORITY,630 Third Avenue,5th Floor,New York,NY,10017,630 Third Avenue,5th Floor,New York,New York,10017,http://www.jra-inc.com,,,,IT Staffing Augmentation.,,,Presidio,509270,,01/01/2012,Supplier of technical personal,Universal E-Business Solutions,910643,,01/01/2012,Supplier of technical personal,,0,,,,,0,,,
"L & H Construction, Inc.",,Lloyd Slowe,9173788783,718 495-4576,lh.construction@yahoo.com,MBE,11/30/2016,BLACK,106 Louisiana Avenue,,Brooklyn,NY,11207,106 Louisiana Avenue,,Brooklyn,New York,11207,http://lhconstruction.net,,,,"General contractors, specialize in interior renovations, eg., sheetrock, filing, masonry painting, finish carpentry, demolition and concrete.",,,NYCSCA & S.T.V. Construction,500000,,06/01/2011,"Demolition were needed to provide new sheetrock, electrical, plumbing, HVAC, VCT floor tile & pointing.",NYCSCA & S.T.V. U.R.S.,500000,,08/01/2011,"Provide new electrical, VCT, floor rtiles, painting, & window shades were needed.",,0,,,,,0,,,
"L.B. Electric Supply Co, Inc",,Carol Lifton,7184384700,718 854-5080,lbsales@lbelectric.com,WBE,,NON-MINORITY,5202 New Utrecht Avenue,,Brooklyn,NY,11219,5202 New Utrecht Avenue,,Brooklyn,New York,11219,http://www.lbelectric.com,,,,"Wholesale and retail electrical supply and lighting distributorship. We stock nearly 30,000 SKU's across many product categories including circuit breakers, switchgear, pipe, cable,wiring devices, lamps, fixtures and safety equipment. We maintain our own fleet of trucks for delivery, we are a I.B.E.W. local 3 union supply house, and we serve general contractors, electrical contractors, industrial and commercial end users, and government agencies.",,,Five Star Electric,0,,06/30/2005,No description of job,Dragados Contracting,0,,03/31/2009,No description of job,Lincoln Square Synagogue,0,,08/31/2009,No description of job,,0,,,
"Lakhi General Contractor, Inc.",,Gurcharan Singh,5163649281,800 225-4892,Lakhigc@aol.com,MBE,05/31/2017,ASIAN,1 Stoneridge Court,,Syosset,NY,11791,P.O. Box  249,,East Norwich,New York,11732,,,,,"A general contractor company that service general construction needs specifically to NYC Housing Authority, NYC Dept. of Housing Preservation & Development, NYC School Construction Authority structure needs, namely, exterior masonry, flood elimination, parapets, brickwork, pointing roofing services, installation of sidewalk shed, scaffolding installation boiler stabilization and all general construction requirements.",,,NYC Housing Authority,3000000,,07/01/2009,"Brick replacement, pointing, asbestos, abatement, horizontal and vertical joints ",NYC School Construction Authority,1500000,,07/01/2010,"Brick replacement, pointing, caulking, lintel replacement, roofing and parapets",NYC School Construction Authority,2100000,,06/01/2009,"Brick replacement, pointing, caulking",,0,,,
LOT/EK Corp.,,Ada Tolla,2122559326,212 255-2988,ada@lot-ek.com,WBE,,NON-MINORITY,181 Chrystie Street,2,New York,NY,10002,181 Chrystie Street,2,New York,New York,10002,http://www.lot-ek.com,,,,"Lot-Ek Corp. is a design office based in NY. It is involved in residential, commercial and institutional projects in the US & abroad. Lot-Ek has achieved high visibility in the architectural, design, art world for its innovative approach to construction, materials and sustainability.",,,,0,,,,,0,,,,,0,,,,,0,,,
M J R Trucking Corp.,,Marcelo Cardenas,6462048912,,mjrtrucking@gmail.com,MBE,06/29/2020,HISPANIC,1644 Norman Street,1st Fl.,Ridgewood,NY,11385,1644 Norman Street,1st Fl.,Ridgewood,New York,11385,,,,,"Specialized freight trucking local, dump trucking. For example sand, gravel, asphalt and concrete.",No,Bridge and/or Roadways; Sewer and/or Water Mains,P & T II Contracting Corp.,40245,100,03/01/2014,Trucking,P & T II Contracting Corp,131791.53,100,11/01/2013,Trucking,P & T II Contracting Corp,431666.66,100,12/01/2014,Trucking,,0,,,
